,Rank,isIP,isValid,Domain_reg_len,is@,isRedirect,haveDash,SubDomain,Domain_http,LongURL,TinyURL,Label
0,0,0,0,1,0,0,0,1,0,1,0,0
1,1,0,0,1,0,0,0,1,0,1,0,1
2,1,0,1,0,0,0,0,1,0,1,0,1
3,1,0,1,0,0,0,0,1,0,0,0,0
4,1,0,1,0,0,0,0,1,0,0,0,1
5,0,0,1,0,0,0,0,1,0,0,0,0
6,0,0,1,0,0,0,0,0,0,0,0,1
7,0,0,0,1,0,0,0,1,0,0,0,0
8,1,0,0,1,0,0,0,1,0,1,0,1
9,1,0,0,1,0,0,0,0,0,1,0,1
10,1,0,1,0,0,0,0,1,0,0,0,0
11,1,0,1,0,0,0,0,1,0,0,0,0
12,1,0,1,0,0,0,0,0,0,1,0,1
13,1,0,0,1,0,0,0,0,0,0,0,0
14,1,0,1,0,0,0,1,1,0,0,0,0
15,0,0,1,0,0,0,0,1,0,0,1,0
16,1,0,0,1,0,0,0,0,0,0,0,0
17,0,0,0,1,0,0,0,1,0,0,0,0
18,0,0,0,1,0,0,0,1,0,0,0,0
19,1,0,1,0,0,0,0,0,0,0,1,0
20,1,0,0,1,0,0,1,0,0,0,1,1
21,1,0,1,0,0,0,0,1,0,0,0,0
22,1,0,1,0,0,0,0,1,0,0,0,0
23,0,0,1,0,0,0,0,0,0,0,0,0
24,1,0,1,0,0,0,0,1,0,0,0,0
25,1,0,0,1,0,0,1,1,0,0,0,1
26,0,0,1,0,0,0,0,0,0,0,0,0
27,1,0,1,0,0,0,0,1,0,0,0,1
28,1,0,0,1,0,0,0,0,0,0,0,0
29,1,0,0,1,0,0,1,1,0,0,0,1
30,0,0,0,1,0,0,0,0,0,0,0,0
31,1,0,1,0,0,0,0,0,0,0,0,0
32,1,0,1,0,0,0,0,0,0,0,0,0
33,1,0,1,0,0,0,0,0,0,1,0,1
34,1,0,1,0,0,0,0,1,0,0,1,0
35,0,0,0,1,0,0,1,1,0,1,0,1
36,0,0,1,0,0,0,0,1,0,0,0,0
37,1,0,0,1,0,0,0,1,0,1,0,1
38,1,0,1,0,0,0,0,0,0,0,0,0
39,0,0,1,0,0,0,1,1,0,1,0,1
40,1,0,0,1,0,0,0,0,0,0,0,1
41,0,0,1,0,0,0,0,1,0,0,0,0
42,1,0,1,0,0,0,0,0,0,0,0,0
43,0,0,1,0,0,0,0,0,0,0,0,1
44,1,0,1,0,0,0,0,1,0,0,0,1
45,1,0,0,1,0,0,0,1,0,1,0,1
46,1,0,1,0,0,0,1,0,0,0,0,0
47,1,0,1,0,0,0,0,0,0,0,0,0
48,1,0,0,1,0,0,0,0,0,1,0,1
49,1,0,1,0,0,0,0,1,0,0,0,1
